Designator,Mid X,Mid Y,Layer,Rotation
C1,36.226965mm,38.356266mm,Top,0
C2,24.104465mm,41.446266mm,Top,180
C3,40.314465mm,33.126266mm,Top,0
C4,40.314465mm,38.256266mm,Top,180
C5,24.104465mm,38.536266mm,Top,180
C6,28.426965mm,33.536266mm,Top,270
C7,29.346965mm,33.546266mm,Top,270
C8,31.406965mm,33.536266mm,Top,270
C9,24.044465mm,36.656266mm,Top,180
C10,23.999465mm,35.466266mm,Top,180
C11,32.384465mm,10.696266mm,Top,180
C12,35.354465mm,10.706266mm,Top,0
C13,11.489465mm,13.846266mm,Top,0
C14,32.336965mm,33.536266mm,Top,270
C15,30.476965mm,33.533766mm,Top,270
C16,21.341965mm,15.252516mm,Top,270
C17,24.234464mm,10.691266mm,Top,0
C18,14.064465mm,42.271266mm,Top,0
C19,14.064465mm,41.351266mm,Top,0
C20,14.064465mm,40.421266mm,Top,0
C21,14.064465mm,39.491266mm,Top,0
C22,19.914465mm,36.876266mm,Top,0
C23,13.914465mm,30.506266mm,Top,0
C24,13.914465mm,35.626266mm,Top,180
C25,8.624465mm,44.036266mm,Top,90
C26,14.064465mm,37.641266mm,Top,0
C27,28.074465mm,27.016266mm,Top,90
C28,10.474465mm,44.026266mm,Top,90
C29,36.841965mm,23.646266mm,Top,0
C30,12.344465mm,44.026266mm,Top,90
C31,24.711965mm,18.256266mm,Top,180
C32,7.804465mm,35.386266mm,Top,270
C33,32.021965mm,14.886266mm,Top,270
C34,14.064465mm,38.571266mm,Top,0
C35,5.913265mm,42.326266mm,Top,90
C36,35.944465mm,13.966266mm,Top,0
C37,10.564465mm,35.286266mm,Top,270
C38,2.384465mm,34.966266mm,Top,270
C39,35.944465mm,13.046266mm,Top,0
C40,6.864465mm,35.386266mm,Top,270
C41,4.494465mm,33.126266mm,Top,180
C42,35.874465mm,15.166266mm,Top,0
C43,5.020000mm,39.760000mm,Top,180
C44,9.554465mm,44.026266mm,Top,90
C45,7.099465mm,31.856266mm,Top,180
C46,21.354465mm,20.256266mm,Top,90
C47,9.489465mm,31.876266mm,Top,0
C48,12.904465mm,63.326266mm,Top,180
C49,12.914465mm,64.516266mm,Top,180
C50,53.501965mm,11.546266mm,Top,0
C51,51.266965mm,10.906266mm,Top,270
C52,14.564465mm,48.543766mm,Top,180
C53,53.471965mm,10.316266mm,Top,0
C54,12.624465mm,50.543766mm,Top,270
C55,13.814465mm,50.503766mm,Top,270
D1,35.796965mm,8.266266mm,Top,180
D2,35.084465mm,30.823766mm,Top,90
D3,36.703265mm,30.858666mm,Top,90
D4,26.104464mm,2.136266mm,Top,180
D5,27.421965mm,14.846266mm,Top,180
D6,11.804465mm,26.716266mm,Top,270
D7,21.774465mm,27.856266mm,Top,270
D8,20.174465mm,27.858766mm,Top,270
D9,18.574465mm,27.856266mm,Top,270
D10,16.974465mm,27.856266mm,Top,270
D11,15.374465mm,27.863766mm,Top,270
D12,52.211165mm,35.110516mm,Top,180
D13,46.426165mm,35.155516mm,Top,180
J6,18.509465mm,56.996266mm,Top,180
L1,4.504465mm,36.156266mm,Top,90
L2,12.904465mm,61.866266mm,Top,180
L3,15.364465mm,50.503766mm,Top,90
Q1,35.814465mm,4.328766mm,Top,270
Q2,9.314465mm,26.776266mm,Top,90
Q3,51.816165mm,37.585516mm,Top,0
Q4,46.013665mm,37.655516mm,Top,0
R1,11.491965mm,11.916266mm,Top,180
R7,38.194465mm,7.496265mm,Top,270
R8,32.989665mm,27.790666mm,Top,180
R9,35.144465mm,25.466266mm,Top,270
R10,37.114465mm,17.446266mm,Top,270
R11,35.554465mm,43.766266mm,Top,0
R12,35.554465mm,44.706266mm,Top,0
R13,35.554465mm,45.656266mm,Top,0
R14,35.554465mm,46.606266mm,Top,0
R15,35.554465mm,47.546266mm,Top,0
R16,27.304465mm,47.516266mm,Top,180
R17,27.304465mm,46.576266mm,Top,180
R18,27.304465mm,45.626266mm,Top,180
R19,11.484465mm,15.796266mm,Top,0
R20,32.614464mm,2.221266mm,Top,0
R21,24.084465mm,43.436266mm,Top,180
R22,24.084465mm,42.476266mm,Top,180
R23,24.084465mm,40.416266mm,Top,180
R24,24.084465mm,39.466266mm,Top,180
R25,35.123265mm,33.248666mm,Top,270
R26,36.693265mm,33.268666mm,Top,270
R27,30.304464mm,2.221266mm,Top,0
R28,19.499964mm,43.861765mm,Top,90
R29,19.489964mm,38.271765mm,Top,90
R30,19.489964mm,41.991765mm,Top,270
R31,19.489964mm,40.131765mm,Top,270
R32,24.024465mm,37.606266mm,Top,0
R33,23.684464mm,2.481266mm,Top,180
R34,25.264465mm,15.366266mm,Top,90
R35,24.694465mm,22.716266mm,Top,180
R36,7.134465mm,26.933766mm,Top,270
R37,18.754465mm,35.366266mm,Top,180
R38,18.764465mm,34.406266mm,Top,180
R39,18.774465mm,33.466266mm,Top,180
R40,18.784465mm,32.516266mm,Top,180
R41,18.794465mm,31.576266mm,Top,180
R42,23.444465mm,30.096266mm,Top,270
R43,24.384465mm,30.086266mm,Top,270
R44,25.324465mm,30.096266mm,Top,270
R45,26.264465mm,30.096266mm,Top,270
R46,27.214465mm,30.096266mm,Top,270
R47,13.104465mm,26.716266mm,Top,90
R48,2.084465mm,40.156266mm,Top,270
R49,11.414465mm,44.006266mm,Top,90
R50,24.694465mm,19.936266mm,Top,180
R51,36.854465mm,21.676266mm,Top,0
R52,21.344465mm,18.036266mm,Top,270
R53,39.164465mm,16.716266mm,Top,90
R54,30.094065mm,27.130266mm,Top,180
R55,49.418665mm,38.365516mm,Top,270
R56,49.788665mm,35.105516mm,Top,180
R57,21.594465mm,45.876266mm,Top,180
R58,21.594465mm,46.826266mm,Top,180
R59,43.616165mm,38.375516mm,Top,270
R60,48.958665mm,36.965516mm,Top,180
R61,43.998665mm,35.175516mm,Top,180
R62,43.118665mm,36.965516mm,Top,180
SW1,14.524465mm,19.766266mm,Top,0
U1,17.174465mm,13.826266mm,Top,0
U2,30.166965mm,39.606266mm,Top,0
U3,27.464465mm,6.456266mm,Top,180
U4,30.774465mm,20.956266mm,Top,90
U5,9.496965mm,39.401266mm,Top,270
U6,49.054465mm,21.196266mm,Top,180
Y1,40.314465mm,35.696266mm,Top,270
Y2,13.984465mm,33.066266mm,Top,270