Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",35.972965,55.628266,0.000000,top
"C2","100n","C_0402_1005Metric",23.850465,58.718266,180.000000,top
"C3","15p","C_0402_1005Metric",40.060465,50.398266,0.000000,top
"C4","15p","C_0402_1005Metric",40.060465,55.528266,180.000000,top
"C5","100n","C_0402_1005Metric",23.850465,55.808266,180.000000,top
"C6","100n","C_0402_1005Metric",28.172965,50.808266,-90.000000,top
"C7","100n","C_0402_1005Metric",29.092965,50.818266,-90.000000,top
"C8","100n","C_0402_1005Metric",31.152965,50.808266,-90.000000,top
"C9","100n","C_0402_1005Metric",23.790465,53.928266,180.000000,top
"C10","10u","C_0603_1608Metric",23.745465,52.738266,180.000000,top
"C12","100n","C_0805_2012Metric",11.235465,31.118266,0.000000,top
"C13","10n","C_0402_1005Metric",32.082965,50.808266,-90.000000,top
"C14","100u","CP_EIA-3528-21_Kemet-B",25.146000,29.872000,180.000000,top
"C15","4,7u","C_0402_1005Metric",30.222965,50.805766,-90.000000,top
"C16","1u","C_0805_2012Metric",29.396000,29.922000,90.000000,top
"C17","100n","C_0402_1005Metric",21.087965,32.524516,-90.000000,top
"C18","100n","C_0402_1005Metric",31.046000,29.922000,90.000000,top
"C19","10n","C_0402_1005Metric",13.810465,59.543266,0.000000,top
"C20","10n","C_0402_1005Metric",13.810465,58.623266,0.000000,top
"C21","10n","C_0402_1005Metric",13.810465,57.693266,0.000000,top
"C22","10n","C_0402_1005Metric",13.810465,56.763266,0.000000,top
"C23","10n","C_0402_1005Metric",19.660465,54.148266,0.000000,top
"C24","15p","C_0402_1005Metric",13.660465,47.778266,0.000000,top
"C25","15p","C_0402_1005Metric",13.660465,52.898266,180.000000,top
"C26","100n","C_0402_1005Metric",8.370465,61.308266,90.000000,top
"C27","100n","C_0402_1005Metric",13.810465,54.913266,0.000000,top
"C28","100n","C_0402_1005Metric",27.820465,44.288266,90.000000,top
"C29","100n","C_0402_1005Metric",10.220465,61.298266,90.000000,top
"C30","100n","C_0402_1005Metric",36.587965,40.918266,0.000000,top
"C31","100n","C_0402_1005Metric",12.090465,61.298266,90.000000,top
"C32","100n","C_0402_1005Metric",24.457965,35.528266,180.000000,top
"C33","100n","C_0402_1005Metric",7.550465,52.658266,-90.000000,top
"C34","100n","C_0402_1005Metric",31.767965,32.158266,-90.000000,top
"C35","100n","C_0402_1005Metric",13.810465,55.843266,0.000000,top
"C36","100n","C_0402_1005Metric",5.659265,59.598266,90.000000,top
"C37","100n","C_0402_1005Metric",35.690465,31.238266,0.000000,top
"C38","100n","C_0402_1005Metric",10.310465,52.558266,-90.000000,top
"C39","10n","C_0402_1005Metric",2.130465,52.238266,-90.000000,top
"C40","10n","C_0402_1005Metric",35.690465,30.318266,0.000000,top
"C41","100n","C_0402_1005Metric",6.610465,52.658266,-90.000000,top
"C42","10u","C_0603_1608Metric",4.240465,50.398266,180.000000,top
"C43","10u","C_0603_1608Metric",35.620465,32.438266,0.000000,top
"C44","100n","C_0402_1005Metric",4.766000,57.032000,180.000000,top
"C45","100n","C_0402_1005Metric",9.300465,61.298266,90.000000,top
"C46","10n","C_0402_1005Metric",6.845465,49.128266,180.000000,top
"C47","100n","C_0402_1005Metric",21.100465,37.528266,90.000000,top
"C48","10u","C_0603_1608Metric",9.235465,49.148266,0.000000,top
"C49","10u","C_0603_1608Metric",12.650465,80.598266,180.000000,top
"C50","100n","C_0402_1005Metric",12.660465,81.788266,180.000000,top
"C51","100n","C_0402_1005Metric",55.946000,28.522000,0.000000,top
"C52","10n","C_0402_1005Metric",53.711000,27.882000,-90.000000,top
"C53","100n","C_0402_1005Metric",14.310465,65.815766,180.000000,top
"C54","1u","C_0603_1608Metric",55.916000,27.292000,0.000000,top
"C55","100n","C_0402_1005Metric",12.370465,67.815766,-90.000000,top
"C56","10u","C_0603_1608Metric",13.560465,67.775766,-90.000000,top
"D1","LED","LED_0603_1608Metric",34.830465,48.095766,90.000000,top
"D2","LED","LED_0603_1608Metric",36.449265,48.130666,90.000000,top
"D3","LED","LED_0603_1608Metric",1.471000,71.934500,-90.000000,top
"D4","LED","LED_0603_1608Metric",25.496000,32.572000,180.000000,top
"D5","LED","LED_0603_1608Metric",11.550465,43.988266,-90.000000,top
"D6","LED","LED_0603_1608Metric",21.520465,45.128266,-90.000000,top
"D7","LED","LED_0603_1608Metric",19.920465,45.130766,-90.000000,top
"D8","LED","LED_0603_1608Metric",18.320465,45.128266,-90.000000,top
"D9","LED","LED_0603_1608Metric",16.720465,45.128266,-90.000000,top
"D10","LED","LED_0603_1608Metric",15.120465,45.135766,-90.000000,top
"D11","LED","LED_0603_1608Metric",51.957165,52.382516,180.000000,top
"D12","LED","LED_0603_1608Metric",46.172165,52.427516,180.000000,top
"J6","SFP","Connector_SFP_and_Cage",18.255465,74.268266,180.000000,top
"L1","2,2uH","INDPM3027X150L",4.250465,53.428266,90.000000,top
"L2","1nH","L_0603_1608Metric",12.650465,79.138266,180.000000,top
"L3","1nH","L_0603_1608Metric",15.110465,67.775766,90.000000,top
"Q1","BC848","SOT-23",9.060465,44.048266,90.000000,top
"Q2","BC848","SOT-23",51.562165,54.857516,0.000000,top
"Q3","BC848","SOT-23",45.759665,54.927516,0.000000,top
"R1","100R 1%","R_0805_2012Metric",11.237965,29.188266,180.000000,top
"R7","10k","R_0402_1005Metric",32.735665,45.062666,180.000000,top
"R8","10k","R_0402_1005Metric",34.890465,42.738266,-90.000000,top
"R9","10k","R_0402_1005Metric",36.860465,34.718266,-90.000000,top
"R10","10k","R_0402_1005Metric",35.300465,61.038266,0.000000,top
"R11","10k","R_0402_1005Metric",35.300465,61.978266,0.000000,top
"R12","10k","R_0402_1005Metric",35.300465,62.928266,0.000000,top
"R13","10k","R_0402_1005Metric",35.300465,63.878266,0.000000,top
"R14","10k","R_0402_1005Metric",35.300465,64.818266,0.000000,top
"R15","10k","R_0402_1005Metric",27.050465,64.788266,180.000000,top
"R16","10k","R_0402_1005Metric",27.050465,63.848266,180.000000,top
"R17","10k","R_0402_1005Metric",27.050465,62.898266,180.000000,top
"R18","10k","R_0805_2012Metric",11.230465,33.068266,0.000000,top
"R19","33R","R_0402_1005Metric",23.830465,60.708266,180.000000,top
"R20","33R","R_0402_1005Metric",23.830465,59.748266,180.000000,top
"R21","33R","R_0402_1005Metric",23.830465,57.688266,180.000000,top
"R22","33R","R_0402_1005Metric",23.830465,56.738266,180.000000,top
"R23","1k","R_0402_1005Metric",34.869265,50.520666,-90.000000,top
"R24","1k","R_0402_1005Metric",36.439265,50.540666,-90.000000,top
"R25","49R9 1%","R_0402_1005Metric",19.245964,61.133765,90.000000,top
"R26","49R9 1%","R_0402_1005Metric",19.235964,55.543765,90.000000,top
"R27","49R9 1%","R_0402_1005Metric",19.235964,59.263765,-90.000000,top
"R28","49R9 1%","R_0402_1005Metric",19.235964,57.403765,-90.000000,top
"R29","12,4k 1%","R_0402_1005Metric",23.770465,54.878266,0.000000,top
"R30","1k","R_0402_1005Metric",1.471000,69.384500,-90.000000,top
"R31","1k","R_0402_1005Metric",23.296000,32.822000,90.000000,top
"R32","10k","R_0402_1005Metric",24.440465,39.988266,180.000000,top
"R33","1k","R_0402_1005Metric",6.880465,44.205766,-90.000000,top
"R34","4,7k","R_0402_1005Metric",18.500465,52.638266,180.000000,top
"R35","4,7k","R_0402_1005Metric",18.510465,51.678266,180.000000,top
"R36","4,7k","R_0402_1005Metric",18.520465,50.738266,180.000000,top
"R37","4,7k","R_0402_1005Metric",18.530465,49.788266,180.000000,top
"R38","4,7k","R_0402_1005Metric",18.540465,48.848266,180.000000,top
"R39","1k","R_0402_1005Metric",23.190465,47.368266,-90.000000,top
"R40","1k","R_0402_1005Metric",24.130465,47.358266,-90.000000,top
"R41","1k","R_0402_1005Metric",25.070465,47.368266,-90.000000,top
"R42","1k","R_0402_1005Metric",26.010465,47.368266,-90.000000,top
"R43","1k","R_0402_1005Metric",26.960465,47.368266,-90.000000,top
"R44","1k","R_0402_1005Metric",12.850465,43.988266,90.000000,top
"R45","4,7k","R_0402_1005Metric",1.830465,57.428266,-90.000000,top
"R46","2,5k 1%","R_0402_1005Metric",11.160465,61.278266,90.000000,top
"R47","4,7k","R_0402_1005Metric",24.440465,37.208266,180.000000,top
"R48","4,7k","R_0402_1005Metric",36.600465,38.948266,0.000000,top
"R49","4,7k","R_0402_1005Metric",21.090465,35.308266,-90.000000,top
"R50","10k","R_0402_1005Metric",38.910465,33.988266,90.000000,top
"R51","10k","R_0402_1005Metric",29.840065,44.402266,180.000000,top
"R52","10k","R_0402_1005Metric",49.164665,55.637516,-90.000000,top
"R53","1k","R_0402_1005Metric",49.534665,52.377516,180.000000,top
"R54","10k","R_0402_1005Metric",21.340465,63.148266,180.000000,top
"R55","10k","R_0402_1005Metric",21.340465,64.098266,180.000000,top
"R56","10k","R_0402_1005Metric",43.362165,55.647516,-90.000000,top
"R57","10k","R_0402_1005Metric",48.704665,54.237516,180.000000,top
"R58","1k","R_0402_1005Metric",43.744665,52.447516,180.000000,top
"R59","10k","R_0402_1005Metric",42.864665,54.237516,180.000000,top
"SW1","RESET","SW_SPST_FSMSM",14.270465,37.038266,0.000000,top
"U1","MCP6002-xSN","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",16.920465,31.098266,0.000000,top
"U2","W5500","LQFP-48_7x7mm_P0.5mm",29.912965,56.878266,0.000000,top
"U3","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",30.520465,38.228266,90.000000,top
"U4","RTL8213B-CG","QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm",9.242965,56.673266,-90.000000,top
"U5","Ai-Thinker-Ra-01","Ai-Thinker-Ra-01-LoRa",48.800465,38.468266,180.000000,top
"Y1","25mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",40.060465,52.968266,-90.000000,top
"Y2","25mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",13.730465,50.338266,-90.000000,top
